anonyme_Source,anonyme_Target,Weight
3907,102346,7
43721,107208,10
40748,107208,5
2970,107208,5
38289,25324,7
94018,23196,7
74084,28748,7
8460,70974,7
53716,81225,5
112864,59993,13
68549,56021,8
38162,100766,6
107822,67129,6
29661,56685,5
69390,107936,5
110995,52798,5
38710,32706,5
70730,14587,8
62087,70974,9
4071,53070,7
64899,66474,10
21721,107121,6
105659,105056,10
88066,69124,7
8043,36640,5
62357,63242,6
100842,25013,6
94379,36976,5
5131,1382,9
99478,33150,10
5021,27274,5
42542,66941,5
68852,1367,6
53867,62292,6
20537,7486,6
74844,12511,5
102620,42583,10
59602,109683,7
18548,29059,7
39201,104605,5
107674,59770,6
9149,37832,24
81124,58074,6
81133,44737,5
103733,35808,5
108363,18979,5
93574,80390,7
70510,6550,9
18026,56260,8
37666,33150,7
18190,22877,6
8840,94253,7
99111,6291,5
103929,65903,6
92521,33595,9
102894,24361,7
90959,49979,6
78340,78340,6
46693,86132,5
60166,80266,5
76663,28811,6
70132,8728,18
13286,86428,15
45084,75825,16
60581,87980,27
83922,103178,19
50349,73473,7
80770,88591,7
30484,79255,5
15212,9421,5
37401,59593,5
109728,82402,8
53219,100264,5
16379,6291,5
32051,100264,5
111031,81140,5
85963,82266,8
94995,86428,8
75050,25909,18
96530,22341,46
26367,96714,6
76404,74164,8
10446,22161,13
72486,103436,5
111474,45523,6
76215,24049,14
24104,72473,5
84985,24605,6
49758,1382,5
76376,93372,6
111350,54657,7
20867,53743,6
106744,88591,5
67955,105038,6
22917,86428,6
66312,103178,6
81569,57453,5
68348,75747,7
452,40913,6
109406,6291,8
4855,79090,6
29308,99427,8
3535,28200,5
44225,107965,5
43661,9521,10
78169,41415,6
17904,39245,10
109448,66048,7
94704,35921,9
40655,3006,7
58838,107402,10
93804,96737,17
97583,86428,5
44336,17830,6
80337,79090,10
57367,59698,6
40506,94949,5
427,52848,5
25349,96737,6
90332,47859,67
71562,22341,7
79650,105984,8
12047,69574,6
52519,111281,5
47287,38184,5
48127,28811,7
42764,42769,8
110141,31777,8
96697,109883,7
109833,44852,10
49306,34796,6
34025,12704,15
31913,86428,5
13212,34755,6
72866,56264,7
58571,103436,5
905,37832,5
54716,87724,5
59777,67369,5
64995,99351,5
64359,12264,5
110798,2248,13
95351,4189,7
2293,43530,5
19980,36640,5
41448,53067,8
59519,86428,8
23620,23291,10
72273,94705,8
61537,23737,5
71289,103436,6
35282,103178,5
43457,99284,5
43911,21863,5
87462,73825,6
105414,62194,5
16999,95837,5
64483,96512,7
28836,37945,5
77861,86428,10
90657,45856,5
